Bin_ID,Bin_Type,Electoral_Area,Irish_X,Irish_Y
WMS0132,Class A,MOUNTJOY A,-6.250942,53.351243
WMS0387,Class A,NORTH CITY,-6.263392,53.347412
WMS2607,Class B,CLONTARF WEST C,-6.218169,53.362602
WMS1694,Dog Bin,PRIORSWOOD C,-6.195221,53.403283
WMS0201,Class A,PEMBROKE EAST A,-6.227687,53.342325
WMS2588,Class B,KIMMAGE C,-6.295815,53.324445
WMS2537,Class B,CLONTARF WEST A,-6.209289,53.375715
WMS0720,Class A,SAINT KEVIN'S,-6.26544,53.334221
WMS2867,Class B,BALLYMUN C,-6.256493,53.398492
WMS0857,Class A,MERCHANTS QUAY E,-6.27871,53.331739
WMS2327,Class B,BEAUMONT E,-6.22615,53.3793
WMS1376,Class A,NORTH CITY,-6.26637,53.348794
